uid,uid1,uid2,uid3,uid4,uid5,uid6,uid7,uid8,uid9,uid10
589,851,29893,11239,2076,2035,9996,645,34036,18429,1695
7465,12031,3701,153,135,4477,4106,186,21877,22961,35608
1363,1364,2951,36885,20371,1453,1486,11813,1257,31149,1470
4901,16001,15039,28725,21647,12477,239,35838,31173,2581,7711
781,34440,15323,20371,1453,1486,2402,34076,1364,1363,10937
6211,16918,16,27821,268,31173,1530,33926,7338,4722,12477
39231,40179,28071,35158,24985,40730,5566,40730,5565,40722,36925
1486,1453,20371,1364,1363,781,2951,34440,36885,11813,10937
3783,25879,8129,34626,16662,1827,38003,15039,3702,34437,4901
72,16049,16706,27833,5682,27831,31741,4059,36896,21855,28025
223,1482,269,6702,17265,33206,889,35062,14513,35790,34577
2164,721,6421,11123,3927,4107,33161,31658,10049,31174,36946
1482,223,35790,6045,30015,23289,37430,34577,25013,33206,934
1471,5029,6438,2150,2623,890,3371,36215,1485,33064,13119
27663,37989,1430,15059,401,11739,6336,265,6774,26213,5365
4918,535,81,31051,8740,77,11113,35677,38249,25161,39468
5365,6171,14807,18661,15059,31715,30370,6336,4672,37989,265
29831,6582,1382,30812,38536,4590,8039,2433,21069,33231,33231
1914,7720,2449,38731,1089,12069,33323,30745,2559,31973,569
302,9963,38422,4053,33323,36990,2752,2563,2559,33190,35075
2034,237,8425,5681,32995,37675,14713,7791,14075,32615,28297
237,2034,37675,14713,8425,5681,32995,28297,14075,23199,7791
34626,34437,38003,3783,16662,18179,25879,18689,3167,1827,8129
33206,889,30015,35790,35062,34577,23289,6045,17265,29803,14513
36371,38917,2762,38770,30448,7456,2324,16638,8293,6194,9638
3167,4789,3901,18689,11977,21557,34437,37435,34626,30885,440
2759,23199,14713,1943,37675,33489,35968,15689,237,232,31339
25013,37430,227,6045,35790,47,23289,7791,16782,32615,934
11123,6421,2164,186,721,23327,2952,36946,153,4107,39198
15059,37989,6336,27663,265,5365,1430,401,31715,18661,6171
1974,38234,35320,9735,2563,4053,38450,4985,36990,2752,302
25313,21419,11917,20815,10643,40542,21899,33899,9735,34534,2448
16918,6211,27821,16,4722,32902,1559,33926,25681,1530,268
32005,9890,3016,33970,35857,7062,7222,35110,32843,2921,38816
30370,6171,4672,14807,5365,2154,18661,2159,33051,31715,957
33161,3927,31658,31174,4107,721,23623,10049,846,2164,10271
37430,25013,47,16782,6045,35790,227,7791,23289,32615,16067
1257,31149,5460,36885,1363,2951,1367,1364,1470,20371,11813
23755,2167,30831,24833,20507,18679,28223,13759,22319,6746,853
26117,17603,25363,30298,17605,9175,35158,35628,24985,28071,23983
3927,33161,31658,721,4107,31174,2164,10049,23623,846,10271
2449,7720,12069,1914,1089,38731,37515,30745,31973,995,35382
33323,9963,38422,302,2559,38731,36990,1914,4053,2752,1089
7791,16067,32615,8425,37430,25013,5681,47,37520,20899,16782
12189,23283,2025,7054,14513,3588,14813,22319,29803,23755,2167
7054,12189,23283,14513,2025,14813,3588,29803,17265,22319,2236
135,12031,153,3701,4477,186,7465,35608,21877,11123,138
17739,34376,3907,34375,39112,2004,9088,40080,1041,40870,14543
1364,1363,20371,2951,1486,1453,36885,10937,781,34440,1257
34440,781,15323,34076,2402,20371,1486,1453,10937,1364,7655
34437,34626,38003,16662,18689,3783,4155,23317,1827,3167,8129
24277,18,138,372,3701,139,31490,7465,12031,135,4477
5681,8425,2034,7791,16067,237,32995,32615,37675,14075,37520
9130,731,4938,1023,8063,6864,39468,558,34438,38249,31051
721,3927,4107,2164,31658,33161,36946,10271,23327,31174,39198
15323,34440,34076,781,2402,3226,6945,1486,20371,10937,1453
14513,7054,14813,23283,12189,29803,2025,17265,3588,33206,2236
37514,1506,6467,19123,1367,39570,5460,35382,995,13767,1257
18679,20507,30831,2167,24833,28223,23755,6746,13759,121,853
16706,27833,72,28025,22145,16049,27831,5682,21855,36896,31741
31051,4918,535,38249,35677,81,6864,4938,8740,77,11113
3701,7465,4477,135,12031,153,138,186,35608,16664,24277
731,9130,1023,4938,34438,558,6864,8063,34100,39468,1842
186,4477,35608,153,11123,135,12031,3701,16664,7465,3091
12069,2449,7720,37515,1914,6467,39570,995,35382,19123,1089
8425,5681,2034,7791,16067,237,32615,32995,14075,37520,37675
37989,15059,6336,27663,1430,265,401,5365,31715,11739,627
27833,16706,28025,72,22145,27831,16049,9656,34822,21855,5682
6467,37514,19123,1506,39570,1367,35382,995,37515,5460,12069
1506,37514,6467,19123,1367,39570,5460,35382,995,1257,13767
2167,23755,24833,30831,18679,20507,13759,28223,6746,853,11771
